s1	s6	s0
AHN	2012-12-05	14
AHN	2012-12-06	16
AHN	2012-12-07	30
AHN	2012-12-08	16
AHN	2012-12-09	20
AHN	2012-12-10	40
AHN	2012-12-11	32
AHN	2012-12-12	30
AHN	2012-12-13	20
AHN	2012-12-14	20
AHN	2012-12-15	32
AHN	2012-12-16	20
AHN	2012-12-17	28
AHN	2012-12-18	12
AHN	2012-12-19	16
AHN	2012-12-20	34
AHN	2012-12-21	24
AHN	2012-12-22	14
AHN	2012-12-23	22
AHN	2012-12-24	20
AHN	2012-12-25	26
AHN	2012-12-26	18
AHN	2012-12-27	22
AHN	2012-12-28	24
AHN	2012-12-29	20
AHN	2012-12-30	30
AHN	2012-12-31	24
AHN	2013-01-01	38
AHN	2013-01-02	20
AHN	2013-01-03	38
AHN	2013-01-04	22
AHN	2013-01-05	38
AHN	2013-01-06	36
AHN	2013-01-07	28
AHN	2013-01-08	32
AHN	2013-01-09	20
AHN	2013-01-10	36
AHN	2013-01-11	28
AHN	2013-01-12	12
AHN	2013-01-13	36
AHN	2013-01-14	28
AHN	2013-01-15	40
AHN	2013-01-16	32
AHN	2013-01-17	36
AHN	2013-01-18	30
AHN	2013-01-19	12
AHN	2013-01-20	28
AHN	2013-01-21	38
AHN	2013-01-22	24
AHN	2013-01-23	32
AHN	2013-01-24	24
AHN	2013-01-25	36
AHN	2013-01-26	26
AHN	2013-01-27	40
AHN	2013-01-28	40
AHN	2013-01-29	22
AHN	2013-01-30	24
AHN	2013-01-31	38
AHN	2013-02-01	32
AHN	2013-02-02	32
AHN	2013-02-03	30
AHN	2013-02-04	28
AHN	2013-02-05	26
AHN	2013-02-06	24
AHN	2013-02-07	20
AHN	2013-02-08	28
AHN	2013-02-09	14
AHN	2013-02-10	20
AHN	2013-02-11	26
AHN	2013-02-12	32
AHN	2013-02-13	22
AHN	2013-02-14	20
AHN	2013-02-15	40
AHN	2013-02-16	26
AHN	2013-02-17	16
AHN	2013-02-18	36
AHN	2013-02-19	32
AHN	2013-02-20	14
AHN	2013-02-21	36
AHN	2013-02-22	24
AHN	2013-02-23	30
AHN	2013-02-24	26
AHN	2013-02-25	26
AHN	2013-02-26	32
AHN	2013-02-27	20
AHN	2013-02-28	20
AHN	2013-03-01	42
AHN	2013-03-02	28
AHN	2013-03-03	16
AHN	2013-03-04	28
AHN	2013-03-05	34
AHN	2013-03-06	36
AHN	2013-03-07	24
AHN	2013-03-08	22
AHN	2013-03-09	22
AHN	2013-03-10	18
AHN	2013-03-11	26
AHN	2013-03-12	32
AHN	2013-03-13	32
AHN	2013-03-14	22
AHN	2013-03-15	22
AHN	2013-03-16	38
AHN	2013-03-17	22
AHN	2013-03-18	18
AHN	2013-03-19	32
AHN	2013-03-20	38
AHN	2013-03-21	32
AHN	2013-03-22	40
AHN	2013-03-23	22
AHN	2013-03-24	48
AHN	2013-03-25	22
AHN	2013-03-26	22
AHN	2013-03-27	38
AHN	2013-03-28	32
AHN	2013-03-29	28
AHN	2013-03-30	14
AHN	2013-03-31	22
AHN	2013-04-01	22
AHN	2013-04-02	22
AHN	2013-04-03	18
AHN	2013-04-04	32
AHN	2013-04-05	32
AHN	2013-04-06	34
AHN	2013-04-07	20
AHN	2013-04-08	18
AHN	2013-04-09	26
AHN	2013-04-10	20
AHN	2013-04-11	20
AHN	2013-04-12	28
AHN	2013-04-13	26
AHN	2013-04-14	36
AHN	2013-04-15	34
AHN	2013-04-16	34
AHN	2013-04-17	26
AHN	2013-04-18	28
AHN	2013-04-19	18
AHN	2013-04-20	42
AHN	2013-04-21	36
AHN	2013-04-22	38
AHN	2013-04-23	24
AHN	2013-04-24	34
AHN	2013-04-25	26
AHN	2013-04-26	36
AHN	2013-04-27	46
AHN	2013-04-28	26
AHN	2013-04-29	32
AHN	2013-04-30	28
AHN	2013-05-01	12
AHN	2013-05-02	32
AHN	2013-05-03	24
AHN	2013-05-04	26
AHN	2013-05-05	32
AHN	2013-05-06	18
AHN	2013-05-07	28
AHN	2013-05-08	32
AHN	2013-05-09	28
AHN	2013-05-10	28
AHN	2013-05-11	24
AHN	2013-05-12	26
AHN	2013-05-13	16
AHN	2013-05-14	24
AHN	2013-05-15	32
AHN	2013-05-16	14
AHN	2013-05-17	26
AHN	2013-05-18	16
AHN	2013-05-19	22
AHN	2013-05-20	26
AHN	2013-05-21	14
AHN	2013-05-22	30
AHN	2013-05-23	28
AHN	2013-05-24	26
AHN	2013-05-25	20
AHN	2013-05-26	20
AHN	2013-05-27	22
AHN	2013-05-28	16
AHN	2013-05-29	18
AHN	2013-05-30	30
AHN	2013-05-31	12
AHN	2013-06-01	20
AHN	2013-06-02	14
AHN	2013-06-03	26
AHN	2013-06-04	28
AHN	2013-06-05	20
AHN	2013-06-06	26
AHN	2013-06-07	26
AHN	2013-06-08	18
AHN	2013-06-09	14
AHN	2013-06-10	28
AHN	2013-06-11	24
AHN	2013-06-12	28
AHN	2013-06-13	36
AHN	2013-06-14	22
AHN	2013-06-15	40
AHN	2013-06-16	26
AHN	2013-06-17	24
AHN	2013-06-18	20
AHN	2013-06-19	18
AHN	2013-06-20	34
AHN	2013-06-21	24
AHN	2013-06-22	20
AHN	2013-06-23	36
AHN	2013-06-24	32
AHN	2013-06-25	30
AHN	2013-06-26	24
AHN	2013-06-27	20
AHN	2013-06-28	24
AHN	2013-06-29	32
AHN	2013-06-30	14
AHN	2013-07-01	26
AHN	2013-07-02	26
AHN	2013-07-03	26
AHN	2013-07-04	36
AHN	2013-07-05	32
AHN	2013-07-06	24
AHN	2013-07-07	18
AHN	2013-07-08	26
AHN	2013-07-09	24
AHN	2013-07-10	18
AHN	2013-07-11	14
AHN	2013-07-12	22
AHN	2013-07-13	24
AHN	2013-07-14	34
AHN	2013-07-15	28
AHN	2013-07-16	16
AHN	2013-07-17	12
AHN	2013-07-18	26
AHN	2013-07-19	24
AHN	2013-07-20	12
AHN	2013-07-21	32
AHN	2013-07-22	20
AHN	2013-07-23	18
AHN	2013-07-24	12
AHN	2013-07-25	8
AHN	2013-07-26	18
