s1	s6	s0
AHN	2012-08-31	740
AHN	2012-09-01	732
AHN	2012-09-02	748
AHN	2012-09-03	812
AHN	2012-09-04	696
AHN	2012-09-05	712
AHN	2012-09-06	712
AHN	2012-09-07	732
AHN	2012-09-08	676
AHN	2012-09-09	782
AHN	2012-09-10	874
AHN	2012-09-11	722
AHN	2012-09-12	658
AHN	2012-09-13	714
AHN	2012-09-14	664
AHN	2012-09-15	712
AHN	2012-09-16	800
AHN	2012-09-17	860
AHN	2012-09-18	758
AHN	2012-09-19	698
AHN	2012-09-20	712
AHN	2012-09-21	648
AHN	2012-09-22	664
AHN	2012-09-23	630
AHN	2012-09-24	780
AHN	2012-09-25	658
AHN	2012-09-26	678
AHN	2012-09-27	684
AHN	2012-09-28	724
AHN	2012-09-29	592
AHN	2012-09-30	650
AHN	2012-10-01	692
AHN	2012-10-02	832
AHN	2012-10-03	816
AHN	2012-10-04	808
AHN	2012-10-05	736
AHN	2012-10-06	688
AHN	2012-10-07	724
AHN	2012-10-08	866
AHN	2012-10-09	746
AHN	2012-10-10	758
AHN	2012-10-11	738
AHN	2012-10-12	744
AHN	2012-10-13	618
AHN	2012-10-14	750
AHN	2012-10-15	790
AHN	2012-10-16	776
AHN	2012-10-17	760
AHN	2012-10-18	716
AHN	2012-10-19	754
AHN	2012-10-20	682
AHN	2012-10-21	714
AHN	2012-10-22	800
AHN	2012-10-23	742
AHN	2012-10-24	738
AHN	2012-10-25	710
AHN	2012-10-26	726
AHN	2012-10-27	732
AHN	2012-10-28	772
AHN	2012-10-29	866
AHN	2012-10-30	724
AHN	2012-10-31	666
AHN	2012-11-01	606
AHN	2012-11-02	630
AHN	2012-11-03	668
AHN	2012-11-04	698
AHN	2012-11-05	778
AHN	2012-11-06	746
AHN	2012-11-07	718
AHN	2012-11-08	656
AHN	2012-11-09	672
AHN	2012-11-10	698
AHN	2012-11-11	612
AHN	2012-11-12	816
AHN	2012-11-13	734
AHN	2012-11-14	712
AHN	2012-11-15	696
